sort,VarID,VarTitle,VarDescription,VarCategory,VarType,Source,LineID_Code,Count,Code,CodeDescription,ShortName,EA_ConversionRules,Notes
1,V1,Climatic Zone,Latitude range of the society. 30 degrees latitude has been defined as the frost line.,,Categorical,Wood (2021),1_NA,,NA,Missing data,Missing data,,
2,,,,,,,1_1,,1,From 30 degrees south to 30 degrees north: Tropical Zone.,0-30,,
3,,,,,,,1_2,,2,Above 30 degrees north or below 30 degrees south: Frost Zone.,31+,,
4,V2,Altitude,Elevation of the society measured in meters above sea level.,,,Global Multi-resolution Terrain Elevation Data 2010; Wood (2021),,,X (Floating-point value),Society is located X meters above sea level,,,
5,V3,Size of Settlements,"Average population of the communities of a culture, compiled from census or other information",Settlement,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),3_NA,686,NA,Missing data,Missing data,,
6,,,,,,,3_1,123,1,Less than 50 people,<50,EA031 = 1,
7,,,,,,,3_2,104,2,50-99 people,50-99,EA031 = 2,
8,,,,,,,3_3,110,3,100-199 people,100-199,EA031 = 3,
9,,,,,,,3_4,87,4,200-399 people,200-399,EA031 = 4,
10,,,,,,,3_5,61,5,"400-1,000 people",400-1000,EA031 = 5,
11,,,,,,,3_6,17,6,"1,000-5,000 people",1K-5K,EA031 = 6,
12,,,,,,,3_7,39,7,"5,000-50,000 people",5K-50K,EA031 = 7,
13,,,,,,,3_8,84,8,"Greater than 50,000 people",>50K,EA031 = 8,
14,V4,Permanence of Settlement,"The stability of the main type of settlement in a culture -- whether fully or partially nomadic, whether permanent and dispersed, or settled and nucleated, or complex.",Settlement,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),4_NA,101,NA,Missing data,Missing data,,
15,,,,,,,4_1,81,1,Fully nomadic groups,Bands,EA030 = 1,
16,,,,,,,4_2,284,2,"Semi-nomadic communities whose members occupy a fixed settlement for some parts of the year but primarily wander in bands. Also includes communities that regularly shift between fixed settlements throughout the year, or from which a substantial proportion of the population departs seasonally to occupy shifting camps.",Semi-Nomadic,EA030 = 2 or 3,
17,,,,,,,4_3,18,3,Compact communities whose location is shifted every few years.,Shifting,EA030 = 4,
18,,,,,,,4_4,110,4,Clusters of hamlets or neighborhoods that are separated but form a more or less permanent single community.,Hamlet,EA030 = 6,
19,,,,,,,4_5,674,5,"Compact and relatively permanent settlements, or neighborhoods of dispersed family homesteads.",Nucleated Villages/Towns,EA030 = 5 or 7,
20,,,,,,,4_6,43,6,"Villages with outlying homesteads, or towns.",Complex,EA030 = 8,
21,V5,Subsistence Mode,A rough typology of the productive techniques the societies use for extracting food from the environment.,Subsistence,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),5_NA,0,NA,Missing data,Missing data,,
22,,,,,,,5_1,119,1,Collecting outweighs game producing and agriculture,Collectors,"(EA004 < 4 and EA005 < 4 and EA004 + EA005 < 6 and the greatest value of (E001, E002, E003) > the greater value of (EA004, EA005)) and 
Either 
(EA001 ≥ 4 and EA001 ≥ EA002 and EA003 - EA001 ≤ 1) 
or 
(EA001 < 4 and EA001 > EA002 > EA003 or EA001 > EA003 > EA002)",
23,,,,,,,5_2,172,2,Hunting and/or fishing outweigh collection and/or agriculture,Game-Producers,"(EA004 < 4 and EA005 < 4 and EA004 + EA005 < 6 and the greatest value of (E001, E002, E003) > the greater value of (EA004, EA005)) and does not satisfy the conditions for 5_1",
24,,,,,,,5_3,265,3,Planters (prior to European contact) with simple tools and no large domestic animals,Incipient Producers,"Does not satisfy conditions for 5_1, 5_2, 5_4, 5_5, 5_6, 5_7, or 5_8",
25,,,,,,,5_4,522,4,"Cultivators with simple tools and animal husbandry (goats, sheep, horses, deer, camels, yaks, water buffalo, or cattle)",Cultivation w/ Animals,"(EA040 > 1 and EA005 > 0) and 
Either 
(EA028 = 4, 5, or 6 and EA039 ≠ 3) 
or
 (EA028 = 3)",
26,,,,,,,5_5,39,5,"Full nomadic pastoralism, at least 70% dependant on animal husbandry",Complex Pastoralists,EA004 > 5 and EA005 < 3,
27,,,,,,,5_6,44,6,"Horticulture with fishing, tree cultivation, animal husbandry, and ocean fishing",Horticulturists w/ Fish,EA040 > 1 and EA003 > 2 and EA028 = 4,
28,,,,,,,5_7,88,7,Plough agriculture,Plough Agriculture,EA028 = 5 and EA039 = 3 and EA040 = 3 or 7 and EA005 > (EA004)/2,
29,,,,,,,5_8,62,8,Irrigation,Irrigators,EA028 = 6 and EA039 = 3 and EA040 = 3 or 7,
30,V6,Collecting,"The culture’s degree of dependence on collecting as its main food source -- this includes gathering wild plants, seeds, roots, and small land fauna.",Subsistence,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),6_NA,2,NA,Missing data,Missing data,,
31,,,,,,,6_1,77,1,46 to 100 percent dependence,>45%,EA001 ≥ 5,
32,,,,,,,6_2,109,2,26 to 45 percent dependence,26-45%,EA001 = 3 or 4,
33,,,,,,,6_3,113,3,16 to 25 percent dependence,16-25%,EA001 = 2,
34,,,,,,,6_4,273,4,6 to 15 percent dependence,6-15%,EA001 = 1,
35,,,,,,,6_5,737,5,0 to 5 percent dependence,<5%,EA001 = 0,
36,V7,Hunting,The culture’s degree of dependence on hunting as its main food source -- this includes trapping and fowling.,Subsistence,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),7_NA,2,NA,Missing data,Missing data,,
37,,,,,,,7_1,55,1,46 to 100 percent dependence,>45%,EA002 ≥ 5,
38,,,,,,,7_2,202,2,26 to 45 percent dependence,26-45%,EA002 = 3 or 4,
39,,,,,,,7_3,182,3,16 to 25 percent dependence,16-25%,EA002 = 2,
40,,,,,,,7_4,464,4,6 to 15 percent dependence,6-15%,EA002 = 1,
41,,,,,,,7_5,406,5,0 to 5 percent dependence,<5%,EA002 = 0,
42,V8,Fishing,The culture’s degree of dependence on fishing as its main food resource -- here fishing includes shell fishing and catching large aquatic mammals such as seals and whales.,Subsistence,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),8_NA,2,NA,Missing data,Missing data,,
43,,,,,,,8_1,96,1,46 to 100 percent dependence,>45%,EA003 ≥ 5,
44,,,,,,,8_2,190,2,26 to 45 percent dependence,26-45%,EA003 = 3 or 4,
45,,,,,,,8_3,207,3,16 to 25 percent dependence,16-25%,EA003 = 2,
46,,,,,,,8_4,354,4,6 to 15 percent dependence,6-15%,EA003 = 1,
47,,,,,,,8_5,462,5,0 to 5 percent dependence,<5%,EA003 = 0,
