Account No,Coding ID,Archival_Culture_Name,Possible_GJB_All_cid_Matches,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
22596,,ABABDA,,,,1,1,5,5,4,5,4,2,3,3,3,111,111,111,111,111,111,111,2,3,3,3,3,1,111,111,111,3,111,111,111,0,2,6,4,111
4227652,,ABARAMBO,,,,111,5,4,5,3,4,2,3,3,2,1,111,111,111,111,111,111,3,2,1,111,3,3,1,111,111,111,1,3,111,111,0,2,111,111,111
2144580,,ABELAM,10033,,,111,5,4,3,4,5,2,4,1,1,111,1,2,111,111,111,111,111,2,3,3,3,3,1,111,111,3,1,2,1,1,0,1,1,1,111
17475,,ABIPON,,,,111,1,2,3,1,4,1,1,111,111,111,1,3,111,111,111,111,3,2,3,3,2,2,2,1,2,111,3,3,111,4,1,1,4,1,2
12621892,,ABNAKI,,,,111,111,2,4,2,2,1,111,111,111,111,111,111,111,111,111,111,111,1,111,111,3,2,2,111,111,111,111,3,111,111,0,111,111,111,111
9282,,ABOR,10077,,,3,5,4,5,3,3,2,3,3,3,1,2,3,111,111,111,1,1,2,3,3,3,3,1,2,3,3,3,111,1,3,1,1,1,1,2
8415812,,ABRON,,,,111,5,4,5,4,5,2,3,3,2,1,111,111,111,111,111,111,111,2,2,1,3,1,1,2,1,1,3,1,111,111,0,3,111,111,111
10564,,ACHOLI,10099,,,111,4,4,4,4,5,3,3,3,2,2,111,111,111,111,111,1,1,2,1,111,3,3,1,111,111,3,3,1,1,1,0,2,111,2,111
4195140,,ACHOMAWI,10110,,,111,2,2,2,2,2,1,1,111,111,111,1,3,111,111,111,2,1,2,2,1,3,2,2,111,111,2,3,111,111,2,0,1,4,111,3
8444483,,ACOMA,,,,6,5,3,4,4,5,1,5,3,111,111,1,3,111,111,111,2,111,4,4,1,2,1,1,2,2,2,2,1,1,1,0,1,111,111,111
12609860,,ADANGME,,,,111,5,4,5,4,5,2,3,1,2,1,111,111,111,111,111,111,1,2,2,111,3,1,2,111,111,111,1,111,111,111,0,2,111,111,111
14728004,,AFAR,10143,,,3,2,5,4,5,4,4,2,3,3,3,2,2,111,111,111,111,3,2,1,1,3,3,1,111,111,111,1,3,111,3,0,3,111,4,111
12609092,,AFIKPO,,,,6,5,4,4,5,3,2,5,1,3,1,2,1,111,111,111,1,3,2,1,1,3,1,2,111,111,111,1,111,1,3,0,2,1,1,111
12609348,,AFO,,,,111,5,4,5,5,3,2,3,3,2,1,111,111,111,111,111,111,111,1,1,111,3,3,1,2,3,3,3,111,1,3,0,1,6,111,111
4932,,AGAIDUKA,,,,2,2,2,2,2,2,1,1,111,111,111,1,3,111,111,111,2,2,1,3,3,3,2,2,1,2,2,3,2,111,1,0,1,2,111,3
8442179,,AIMOL,,,,2,5,4,5,3,4,2,3,3,3,1,2,2,111,111,111,1,1,1,3,3,3,3,1,2,3,3,3,111,1,2,0,1,6,2,111
8430147,,AINU,16809,,,1,2,2,3,2,2,1,3,3,111,111,1,2,111,111,111,2,1,4,3,3,3,1,1,111,111,3,2,3,1,1,0,2,4,1,2
8422211,,AJIE,10231,,,111,5,6,5,5,2,2,4,1,1,111,1,1,111,111,111,111,111,1,111,111,3,3,1,111,111,111,1,2,1,1,2,2,4,111,111
42307,,AKHA,10242,,,4,3,4,4,3,4,2,3,3,3,1,2,1,111,111,111,111,1,4,3,3,3,3,1,2,3,3,3,2,1,1,1,1,4,1,111
12592964,,AKYEM,,,,111,5,4,5,4,5,2,3,2,2,1,111,111,111,111,111,111,111,2,1,1,111,1,1,2,1,1,1,1,1,111,0,3,111,111,111
50755,,ALACALUF,10264,,,1,1,2,4,3,1,1,1,111,111,111,1,2,111,111,111,111,111,4,3,3,2,2,2,1,2,111,3,111,111,1,1,1,1,1,2
27716,,ALAGYA,,,,111,111,2,5,4,1,2,111,111,111,111,111,111,111,111,111,111,111,4,2,1,1,1,1,2,1,1,1,111,111,2,0,111,111,111,111
8422979,,ALASKEESKM,,,,111,2,2,4,2,1,1,1,111,111,111,1,3,111,111,111,1,111,4,3,1,3,2,2,1,2,3,3,2,2,2,1,1,1,1,2
51265,,ALBANIANS,10297,,,4,5,7,5,5,5,3,5,3,3,3,2,2,111,111,111,2,3,2,2,1,3,2,2,2,3,3,3,3,111,111,2,3,4,4,111
58691,,ALEUT,,,,3,5,2,4,2,1,1,1,111,111,111,1,3,111,111,111,2,2,1,2,1,3,2,2,1,2,2,3,2,2,4,0,1,4,2,3
8413252,,ALGERIANS,22754,,,8,5,8,5,5,5,3,6,3,3,3,2,3,111,111,111,2,3,2,3,1,3,3,1,2,2,2,1,3,111,5,0,111,1,4,111
60483,,ALKATCHO,,,,111,2,2,4,2,1,1,1,111,111,111,1,3,111,111,111,2,2,1,2,1,3,2,2,111,111,111,3,2,1,4,0,1,4,1,3
